Latitude,Longitude,count
35.93631,-79.026999,14
35.935902,-79.02657,14
35.935905,-79.026337,14
35.935102,-79.024268,14
35.935158,-79.024284,14
35.93510174,-79.02426815,14
35.93494198,-79.02427494,14
35.914856,-79.054195,8
35.914665,-79.054138,8
35.914604,-79.054127,8
35.91483991,-79.05421912,8
35.927577,-79.030125,7
35.927763,-79.027033,7
35.92782211,-79.02703857,7
35.92776301,-79.02703258,7
35.944823,-79.012676,6
35.947766,-79.012792,6
35.947773,-79.012795,6
35.945217,-79.009582,6
35.944893,-79.009392,6
35.944837,-79.009379,6
35.926894,-79.052928,6
35.927327,-79.053859,6
35.926901,-79.052931,6
35.92696,-79.05294,6
35.92690101,-79.0529309,6
35.92695999,-79.05294037,6
35.968226,-79.058647,5
35.968234,-79.058649,5
35.96823356,-79.05864946,5
35.922674,-79.065896,5
35.924637,-79.065885,5
35.92463739,-79.06588455,5
35.9227404,-79.06626073,5
35.917832,-79.056536,5
35.918229,-79.052014,5
35.917974,-79.053023,5
35.91913128,-79.05387127,5
35.938695,-79.020844,4
35.93884659,-79.02210235,4
35.93869485,-79.02084364,4
35.944297,-79.01086,4
35.943996,-79.011437,4
35.94399615,-79.01143738,4
35.912419,-79.057582,4
35.91247907,-79.0574293,4
35.910806,-79.061155,4
35.91086578,-79.06116486,4
35.917763,-79.04384,4
35.92695999,-79.05294036,4
35.91396,-79.055708,3
35.913967,-79.055711,3
35.91402817,-79.05571747,3
35.878574,-79.065735,3
35.88014222,-79.06518817,3
35.899589,-79.068424,3
35.898037,-79.067749,3
35.89797607,-79.06773703,3
35.962133,-79.054797,3
35.962133,-79.054797,3
35.96329716,-79.05446974,3
35.928413,-79.031122,3
35.92847443,-79.03112792,3
35.92841344,-79.03112186,3
35.934632,-79.022613,3
35.937426,-79.022891,3
35.936885,-79.022096,3
35.93688507,-79.02209589,3
35.940711,-79.019103,3
35.94116311,-79.01939834,3
35.911777,-79.059509,3
35.912354,-79.058877,3
35.913406,-79.059476,3
