Latitude,Longitude,count
35.915186,-79.024551,1
35.910685,-79.054444,1
35.91296844,-79.05783909,1
35.905365,-79.016304,1
35.929016,-79.034494,1
35.929317,-79.034328,1
35.92931412,-79.03427706,1
35.91222941,-79.0581245,1
35.932987,-79.017025,1
35.92953582,-79.03408319,1
35.930495,-79.034439,1
35.932152,-79.032198,1
35.93391449,-79.01232033,1
35.891758,-79.05861,1
35.91501145,-79.05392726,1
35.932984,-79.010243,1
35.96096737,-79.05730078,1
35.961154,-79.057402,1
35.915253,-79.053398,1
35.935031,-79.029434,1
35.961779,-79.057508,1
35.936207,-79.020111,1
35.96416092,-79.05853271,1
35.961895,-79.058095,1
35.935061,-79.029282,1
35.93582338,-79.0268491,1
35.93644775,-79.02259705,1
35.945686,-79.006119,1
35.942746,-79.012073,1
35.937732,-79.008915,1
35.943225,-79.016092,1
35.966063,-79.059021,1
35.936244,-79.02338,1
35.864075,-79.076346,1
35.94649518,-79.01053524,1
35.946128,-79.008123,1
35.937415,-79.025157,1
35.966378,-79.059449,1
35.96737605,-79.05884635,1
35.966599,-79.058787,1
35.93176285,-79.00431042,1
35.910931,-79.041689,1
35.913205,-79.047839,1
35.899463,-79.034813,1
35.91810948,-79.02612514,1
35.93292974,-79.02855532,1
35.912338,-79.058524,1
35.970547,-79.071152,1
35.89331,-79.085406,1
35.891864,-79.05849,1
35.947973,-79.009985,1
35.914388,-79.052665,1
35.892227,-79.058635,1
35.86121,-79.081607,1
35.89894,-79.010195,1
35.91174,-79.065503,1
35.923831,-79.055863,1
35.883118,-79.060768,1
35.911653,-79.065954,1
35.911706,-79.05947097,1
35.92696,-79.05294,1
35.911333,-79.014146,1
35.883118,-79.060768,1
35.951671,-79.009498,1
35.913905,-79.058923,1
35.931438,-79.029348,1
35.911777,-79.059247,1
35.94998486,-79.0339008,1
35.91230925,-79.06506572,1
35.913469,-79.058343,1
35.92379933,-79.05646781,1
35.93181641,-79.02879194,1
35.92579846,-79.02559391,1
35.919077,-79.066829,1
35.887631,-79.072174,1
35.91609,-79.0516,1
35.913227,-79.05867,1
35.94478967,-79.05578637,1
35.960873,-79.051689,1
35.932042,-79.027547,1
35.913689,-79.039604,1
35.918147,-79.036416,1
35.914578,-79.051896,1
35.951944,-79.016123,1
35.951379,-79.064427,1
35.931983,-79.027242,1
35.932882,-79.025815,1
35.949582,-79.059852,1
35.911727,-78.984222,1
35.944412,-79.055126,1
35.955645,-79.06587,1
35.90433835,-79.01184717,1
35.908482,-79.053436,1
35.91328,-79.058983,1
35.91317099,-79.05864694,1
35.948741,-79.008112,1
35.91140564,-79.05961673,1
35.918758,-79.062324,1
35.911242,-79.059687,1
35.955065,-79.015299,1
35.91262,-79.066546,1
35.917005,-79.061825,1
35.915872,-79.04983,1
35.9132168,-79.06643817,1
35.94656,-79.061131,1
35.90661232,-79.0221404,1
35.916555,-79.049743,1
35.911537,-79.060638,1
35.944265,-79.054923,1
35.9124851,-79.06074108,1
35.912094,-79.060529,1
35.895762,-79.057733,1
35.91129001,-79.06054402,1
35.902442,-79.009806,1
35.912021,-79.062055,1
35.917429,-79.06329,1
35.945633,-79.047478,1
35.89632,-79.009193,1
35.89676392,-79.00891334,1
35.911782,-79.062877,1
35.916,-79.057236,1
35.88076019,-79.06722259,1
35.911401,-79.060917,1
35.910891,-79.060833,1
35.91131905,-79.06275399,1
35.916863,-79.048917,1
35.910801,-79.06166,1
35.92695999,-79.05294036,1
35.91030145,-79.06194195,1
35.91051646,-79.06235304,1
35.910859,-79.062483,1
35.910291,-79.063243,1
35.9059038,-79.08225801,1
35.905277,-79.010705,1
35.91,-79.06323,1
35.910251,-79.063347,1
35.888123,-79.070915,1
35.910206,-79.064019,1
35.90987598,-79.06421102,1
35.916772,-79.046551,1
35.93084574,-79.00202157,1
35.944819,-79.00136,1
35.945061,-78.999963,1
35.94470831,-79.00140527,1
35.91013336,-79.06470489,1
35.96213913,-79.03437805,1
35.93314725,-79.02107221,1
35.961822,-79.034719,1
35.920873,-79.056145,1
35.9192327,-79.05973843,1
35.881155,-79.066308,1
35.9261,-79.048724,1
35.924613,-79.052432,1
35.880347,-79.066217,1
35.92075348,-79.05558014,1
35.922973,-79.05505597,1
35.886936,-79.068474,1
35.921191,-79.055761,1
35.939533,-79.048649,1
35.921415,-79.055686,1
35.88064575,-79.0662384,1
35.902822,-79.007277,1
35.92172,-79.055099,1
35.91661063,-79.04231966,1
35.921574,-79.053702,1
35.924377,-79.054299,1
35.903406,-79.067768,1
35.9201387,-79.05606506,1
35.925064,-79.054005,1
35.904875,-79.006827,1
35.905363,-79.01522,1
35.933785,-79.05193,1
35.92145919,-79.0583208,1
35.921508,-79.058242,1
35.891803,-79.058562,1
35.91943503,-79.03872324,1
35.936116,-79.025213,1
35.915506,-79.053588,1
35.925123,-79.054044,1
35.92690101,-79.0529309,1
35.926893,-79.052926,1
35.926645,-79.053792,1
35.893716,-79.057488,1
35.914068,-79.056292,1
35.912036,-79.025181,1
35.94936577,-79.04232905,1
35.905436,-79.016092,1
35.92899,-79.029807,1
35.929259,-79.029024,1
35.929259,-79.029024,1
35.908673,-79.029373,1
35.852444,-79.07323,1
35.94169834,-79.07631951,1
35.94826975,-79.06195662,1
35.908677,-79.027128,1
35.94477232,-79.0127157,1
35.96421051,-79.04919434,1
35.936223,-79.023122,1
35.934083,-79.055815,1
35.93047899,-79.07007701,1
35.963921,-79.051913,1
35.907287,-79.008142,1
35.946705,-79.06258,1
35.91853298,-79.03965204,1
35.931378,-79.033005,1
35.916653,-79.049489,1
35.94928,-79.002705,1
35.902859,-79.065297,1
35.935257,-79.056076,1
35.93517701,-79.04787402,1
35.94195,-79.01818,1
35.91519,-79.02628,1
35.893533,-79.056889,1
35.94044,-79.02219,1
35.94226,-79.01834,1
35.90147929,-79.03286789,1
35.89587,-79.04579,1
35.9348989,-79.02390672,1
35.930343,-79.024304,1
35.944635,-79.012628,1
35.91038401,-79.02656898,1
35.8985491,-79.03621579,1
35.94471741,-79.01264953,1
35.932507,-79.02399003,1
35.92503,-79.024811,1
35.936469,-79.003368,1
35.91225,-79.058142,1
35.90795401,-79.023782,1
35.949519,-79.058372,1
35.880939,-79.06612,1
35.94556,-79.05822,1
35.9688539,-79.06109479,1
35.963982,-79.058488,1
35.891334,-79.05937,1
35.914086,-79.05629598,1
35.913159,-79.055779,1
35.935191,-79.05074,1
35.89692,-79.040896,1
35.96396,-79.05829,1
35.90286,-79.00183,1
35.94627201,-79.05832499,1
35.94542,-78.99572,1
35.951131,-79.011732,1
35.91686758,-79.04369539,1
35.915094,-79.050708,1
35.91998,-79.01079,1
-79.056171,35.935413,1
35.911096,-79.038724,1
35.902859,-79.010593,1
35.901828,-79.007292,1
35.906238,-79.018952,1
35.908677,-79.027128,1
35.90071498,-79.05791302,1
35.91075516,-79.0544281,1
35.92319877,-79.03866832,1
35.925114,-79.024857,1
35.92503,-79.024811,1
35.91101999,-79.065804,1
35.944855,-79.012672,1
35.861188,-79.081263,1
35.92911,-79.02425,1
35.92319877,-79.03866832,1
35.879103,-79.063889,1
35.92063,-79.067548,1
35.92265,-79.06594,1
35.920593,-79.067844,1
35.91171,-79.059528,1
35.913159,-79.055779,1
35.91407,-79.05629,1
35.91403,-79.056342,1
35.961769,-79.034564,1
35.961769,-79.034564,1
35.963982,-79.058488,1
