Offense,Street,Date of Occurrence,Victim Age,Victim Race,Victim Gender,lat,lon
HIT AND RUN,117 OLD DURHAM RD,2016/8/7 21:20,30,B,F,35.944297,-79.01086
INJURED WHITETAIL DEER,305 ERWIN RD/ENGLEWOOD DR,2016/8/23 12:16,<Null>,<Null>,<Null>,35.955065,-79.015299
HIT AND RUN,1106 ENVIRON WAY,2016/8/6 13:30,23,W,F,35.906677,-79.02142
TRAFFIC CRASH,1415 E FRANKLIN ST/N ESTES DR,2016/9/7 17:11,49,W,M,35.929317,-79.034328
CRASH FATALITY,900 BLK RALEIGH ROAD,2016/8/25 21:36,61,W,F,35.908673,-79.029373
VEHICLE CRASH,1790 FORDHAM BLVD,2016/9/7 15:23,<Null>,<Null>,<Null>,35.943225,-79.016092
HIT AND RUN,700 HILLSBOROUGH ST ,2016/10/2 22:46,<Null>,B,M,35.924613,-79.052432
MOTOR VEHICLE CRASH,100 MILL RACE DR,2016/9/28 3:30,21,W,F,35.922745,-79.051447
HIT AND RUN,828 MARTIN LUTHER KING JR BLVD,2016/8/25 9:30,<Null>,<Null>,<Null>,35.926894,-79.052928
HIT AND RUN,891 WILLOW DR/CONNER DR,2017/1/16 9:54,66,W,F,35.929259,-79.029024
HIT/RUN LEAVE SCENE OF PROPERTY DAMAGE,FORDHAM BLVD/SAGE RD,2017/2/9 19:12,26,W,F,35.944635,-79.012628
HIT AND RUN PROPERTY DAMAGE,100 N ROBERSON ST/W FRANKLIN ST,2017/2/1 1:45,43,B,M,35.910276,-79.063203
HIT AND RUN,14 BRANDON RD,2017/3/11 7:00,46,W,M,35.915186,-79.024551
HIT AND RUN,1800 EPHESUS CHURCH AND FORDHAM BLVD,2017/4/3 19:29,52,W,F,35.936244,-79.02338
HIT AND RUN,237 S ELLIOTT RD,2017/5/4 18:05,54,W,M,35.932042,-79.027547
HIT AND RUN,316 W ROSEMARY ST,2017/9/21 15:00,20,W,F,35.912568,-79.060286
CRASH INVESTIGATION,104 NEW STATESIDE DR,2017/8/24 16:50,44,W,F,35.955165,-79.058063
HIT AND RUN CRASH,255 S ELLIOTT RD,2017/8/23 11:26,<Null>,<Null>,<Null>,35.931983,-79.027242
CRASH INVESTIGATION,1702 E FRANKLIN ST,2017/12/11 13:30,<Null>,<Null>,<Null>,35.935061,-79.029282
HIT AND RUN INVESTIGATION,333 W ROSEMARY ST,2018/2/10 15:05,47,W,F,35.912019,-79.061541
HIT AND RUN,272 RALEIGH RD,2018/1/23 14:29,50,W,M,35.911727,-78.984222
HIT & RUN,RALEIGH RD E/MEADOWMONT LN,2018/1/29 17:59,59,W,M,35.902859,-79.010593
FATALITY CRASH,1620 MARTIN LUTHER KING JR BLVD/WESTMINSTER DR,2018/1/16 21:20,<Null>,W,M,35.961154,-79.057402
HIT AND RUN INVESTIGATION,US 15-501@MARKET ST,2018/1/17 11:59,25,B,F,35.879103,-79.063889
HIT AND RUN,1301 FORDHAM BLVD/EPHESUS CHURCH RD,2018/3/13 17:25,60,W,M,35.936265,-79.023442
HIT AND RUN,1200 RALEIGH RD,2018/2/12 20:15,43,W,F,35.908655,-79.02706
HIT AND RUN,130 CULBRETH PARK DR/WILSON CREEK RD,2018/3/4 10:00,34,W,F,35.889955,-79.063571
HIT AND RUN,1800 E FRANKLIN ST,2018/3/18 18:30,<Null>,W,F,35.93631,-79.026999
HIT AND RUN,301 PINEGATE CIR,2018/4/18 17:05,31,B,M,35.948741,-79.008112
HIT AND RUN,318 E ROSEMARY ST/HILLSBOROUGH ST,2018/5/7 22:06,27,B,M,35.916555,-79.049743
MOCK CRASH,500 WEAVER DAIRY RD,2018/4/25 8:12,<Null>,<Null>,<Null>,35.960454,-79.031605
HIT AND RUN,314 S HERITAGE LOOP,2018/4/13 17:00,25,B,F,35.94656,-79.061131
HIT AND RUN UTILITY POLE,111 HILLSBOROUGH ST/E ROSEMARY ST,2018/4/29 3:51,<Null>,<Null>,<Null>,35.916568,-79.049783
CRASH INVESTIGATION,CHAPEL RIDGE DRIVE,2018/4/16 12:41,21,B,F,35.946705,-79.06258
HIT AND RUN INVESTIGATION,891 WILLOW DR,2018/5/15 13:59,80,W,M,35.929259,-79.029024
HIT AND RUN INVESTIGATION,104 N GRAHAM ST,2018/6/21 14:49,32,B,F,35.910084,-79.064315
HIT AND RUN,1800 E FRANKLIN ST,2018/5/31 18:15,54,A,M,35.93631,-79.026999
HIT & RUN-TRAFFIC,1801 FORDHAM BLVD,2018/6/3 16:34,<Null>,<Null>,<Null>,35.944823,-79.012676
HIT AND RUN,124 N MERRITT MILL RD/W ROSEMARY ST,2018/6/1 18:30,48,W,F,35.911029,-79.065792
CRASH INFORMATION,700 BOLINWOOD DR,2018/5/28 12:00,59,W,M,35.9261,-79.048724
HIT AND RUN,408 E ROSEMARY ST,2018/6/8 14:55,<Null>,<Null>,<Null>,35.916863,-79.048917
CRASH INVESTIGATION,1801 FORDHAM BLVD,2018/6/22 17:50,56,W,M,35.944823,-79.012676
HIT AND RUN INVESTIGATION,1060 NC 54,2018/6/13 9:15,53,B,M,35.898081,-79.065681
CRASH INVESTIGATION,225 CULBRETH RD,2018/6/7 10:30,28,B,M,35.891814,-79.066341
CRASH INVESTIGATION,MT CARMEL CHURCH RD @ US15-501N,2018/8/16 8:00,64,W,F,35.891334,-79.05937
HIT AND RUN,828 MARTIN LUTHER KING JR BLVD,2018/7/12 14:10,64,B,F,35.927327,-79.053859
