Offense,Street,Date of Occurrence,Victim Age,Victim Race,Victim Gender,lat,lon
HIT AND RUN,1098 MARTIN LUTHER KING JR BLVD,2022/3/23 5:49,<Null>,W,M,35.942528,-79.057542
HIT AND RUN,1129 WEAVER DAIRY RD,2022/4/8 18:00,70,W,M,35.962133,-79.054797
HIT AND RUN,125 S ESTES DR,2022/6/16 11:48,46,W,F,35.928413,-79.031122
HIT & RUN(PROPERTY DAMAGE),E FRANKLIN ST @ ROBERTSON LN,2021/10/22 11:00,<Null>,<Null>,<Null>,35.91458,-79.05206
HIT AND RUN,110 N ELLIOTT RD,2022/5/27 9:20,34,W,M,35.936565,-79.030772
HIT AND RUN,FORDHAM BLVD @ S COLUMBIA ST,2022/2/3 19:00,<Null>,W,M,35.89363,-79.05748
HIT AND RUN,100 E ROSEMARY ST,2022/8/3 12:00,22,A,M,35.913967,-79.055711
CRASH INVESTIGATION,FORDHAM BLVD @ EAST FRANKLIN ST,2022/6/12 18:06,<Null>,<Null>,<Null>,35.94044,-79.02219
HIT AND RUN,106 PINEGATE CIR,2022/3/27 21:00,<Null>,W,F,35.947592,-79.009348
CRASH INVESTIGATION,1199 WEAVER DAIRY RD,2022/6/2 7:30,39,W,F,35.963903,-79.058219
CRASH INVESTIGATION,130 DIXIE DR,2022/3/29 15:40,80,W,M,35.948863,-79.055233
CRASH INVESTIGATION,EUROPA DR @ FORDHAM BLVD,2022/1/26 18:40,28,W,M,35.94195,-79.01818
CRASH INVESTIGATION.,130 S ESTES DR,2021/10/26 9:00,31,B,F,35.926857,-79.030794
CRASH INVESTIGATION,107 E FRANKLIN ST,2022/2/2 17:30,55,W,F,35.913486,-79.055446
HIT AND RUN,FORDHAM BLVD @ SERVICE RD,2022/1/11 10:31,21,W,F,35.93637,-79.02373
HIT AND RUN,1208 DREW HILL LN,2022/7/22 12:00,37,B,F,35.951694,-79.010185
CRASH INVESTIGATION,FORDHAM BLVD @ SERVICE RD,2022/7/19 13:04,<Null>,<Null>,<Null>,35.93637,-79.02373
HIT AND RUN INVESTIGATION,MARTIN LUTHER KING JR BLVD @ TAYLOR ST,2022/5/27 20:05,45,W,F,35.94556,-79.05822
HIT N RUN,NC 86 @ WEAVER DAIRY RD,2021/12/21 22:38,44,B,M,35.96396,-79.05829
HIT AND RUN,116 W BARBEE CHAPEL RD,2022/4/26 13:16,58,W,M,35.906486,-79.010899
CRASH INVESTIGATION,701 HIGHGROVE DR,2022/3/30 14:30,47,W,M,35.886936,-79.068474
CRASH INVESTIGATION,1800 E FRANKLIN ST,2021/12/27 12:45,35,W,M,35.935102,-79.024268
HIT AND RUN,1001 S MERRITT MILL RD,2022/4/7 8:45,<Null>,W,F,35.908014,-79.064294
CRASH INVESTIGATION,2030 S COLUMBIA ST,2022/7/26 17:00,22,W,M,35.892227,-79.058635
CRASH INVESTIGATION,206 W FRANKLIN ST,2022/6/5,46,W,M,35.912354,-79.058877
HIT AND RUN,206 W FRANKLIN ST,2022/4/13 20:40,<Null>,W,M,35.912354,-79.058877
CRASH INVESTIGATION,803 N ESTES DR,2022/3/25 16:19,<Null>,A,M,35.933785,-79.05193
CRASH INVESTIGATION,105 W LONGVIEW ST,2022/1/25 16:00,54,W,M,35.91931,-79.060562
CRASH INVESTIGATION,2030 US 15-501,2022/4/12 20:08,<Null>,<Null>,<Null>,35.86121,-79.081607
HIT AND RUN,211 CHURCH ST,2022/1/24 16:00,22,W,F,35.913406,-79.059476
CRASH INVESTIGATION,E FRANKLIN ST,2022/3/24 21:23,<Null>,<Null>,<Null>,35.931378,-79.033005
HIT AND RUN,222 WESTSIDE DR,2022/7/13 8:00,56,W,M,35.887631,-79.072174
CRASH INVESTIGATION,200 W FRANKLIN ST,2022/1/14 14:16,<Null>,W,M,35.912338,-79.058524
BELATED CRASH,116 W BARBEE CHAPEL RD,2022/5/18 12:00,57,B,M,35.906486,-79.010899
CRASH INVESTIGATION,1301 FORDHAM BLVD,2022/5/27 9:17,26,W,M,35.934632,-79.022613
HIT AND RUN,1832 FORDHAM BLVD,2022/4/6 10:34,56,W,F,35.946128,-79.008123
CRASH INVESTIGATION,631 MARTIN LUTHER KING JR BLVD,2022/5/21 0:33,<Null>,<Null>,<Null>,35.920873,-79.056145
CRASH INVESTIGATION,US 15-501 @ WALNUT ST,2022/7/19 9:32,49,W,F,35.92911,-79.02425
HIT AND RUN,205 N GRAHAM ST,2022/5/16 17:00,<Null>,W,M,35.91174,-79.065503
HIT AND RUN,342 W ROSEMARY ST,2022/4/11 12:00,<Null>,W,F,35.912021,-79.062055
HIT & RUN INVESTIGATION,828 EASTGATE CROSSING,2021/12/29 13:30,56,W,F,35.936116,-79.025213
CRASH INVESTIGATION,101 S COLUMBIA ST,2022/1/29 19:05,<Null>,<Null>,<Null>,35.912593,-79.054877
CRASH INVESTIGATION,250 E FRANKLIN ST,2022/2/3 9:00,<Null>,<Null>,<Null>,35.914578,-79.051896
HIT AND RUN,1701 MLK JR BLVD,2022/2/22 12:00,<Null>,W,F,35.961895,-79.058095
CRASH INVESTIGATION,1748 FORDHAM BLVD,2022/3/27 0:17,<Null>,<Null>,<Null>,35.940711,-79.019103
CRASH INVESTIGATION,1800 MARTIN LUTHER KING JR BLVD,2022/4/10 11:00,69,W,M,35.968234,-79.058649
CRASH INVESTIGATION,103 W FRANKLIN ST,2022/4/28 1:02,60,W,F,35.912921,-79.056251
CRASH INVESTIGATION,1012 S COLUMBIA ST,2021/11/5 16:31,21,W,M,35.882421,-79.061207
CRASH INVESTIGATION,333 W ROSEMARY ST,2022/4/8 16:44,<Null>,W,F,35.911655,-79.061241
HIT AND RUN INVESTIGATION,81 US 15-501,2022/3/19 8:00,33,B,M,35.891803,-79.058562
HIT AND RUN,508 HIGHGROVE DR,2022/2/19 20:00,43,W,F,35.888123,-79.070915
HIT AND RUN,409 W FRANKLIN ST,2022/8/9 10:36,33,B,F,35.910806,-79.061155
CRASH INVESTIGATION,1800 E FRANKLIN ST,2022/1/31 16:00,81,W,F,35.935102,-79.024268
CRASH INVESTIGATION,807 N COLUMBIA ST,2022/5/26 18:00,47,W,M,35.921508,-79.058242
HIT AND RUN INVOLVING PEDESTRIAN,2701 HOMESTEAD RD,2022/1/4 11:29,<Null>,B,M,35.949582,-79.059852
HIT AND RUN,1219 RALEIGH RD,2021/12/23 8:10,33,W,M,35.907967,-79.022906
HIT AND RUN,1521 E FRANKLIN ST,2022/6/29 16:00,25,W,M,35.933036,-79.032733
HIT AND RUN,101 CHANNING LN,2022/6/10 23:30,22,W,M,35.89272,-79.062536
CRASH INVESTIGATION,700 MARKET ST,2022/4/29 20:00,<Null>,W,F,35.880347,-79.066217
CRASH INVESTIGATION,1289 FORDHAM BLVD,2022/1/12 16:20,<Null>,B,F,35.934088,-79.02305
HIT & RUN,500 UMSTEAD DR,2022/5/13 17:30,49,B,M,35.924637,-79.065885
CRASH INVESTIGATION,1800 E FRANKLIN ST,2022/3/16 17:45,53,W,F,35.935102,-79.024268
CRASH INVESTIGATION,300 ASHLEY FOREST RD,2022/1/31 1:00,43,W,M,35.944412,-79.055126
HIT AND RUN,106 N GRAHAM ST,2021/12/9 0:14,28,W,M,35.910484,-79.064267
HIT AND RUN,205 SUNRISE LN,2022/2/3 22:00,<Null>,W,F,35.923831,-79.055863
CRASH INVESTIGATION,VILLAGE DR @ UMSTEAD DR,2022/1/22 0:30,<Null>,<Null>,<Null>,35.92265,-79.06594
CRASH INVESTIGATION,600 MARTIN LUTHER KING JR BLVD,2021/12/25 18:00,23,W,M,35.918559,-79.055692
CRASH INVESTIGATION,W ROSEMARY ST @ N COLUMBIA ST,2021/12/1 22:05,19,A,F,35.91407,-79.05629
HIT AND RUN,325 W ROSEMARY ST,2022/1/24 0:43,<Null>,<Null>,<Null>,35.912094,-79.060529
CRASH INVESTIGATION,PINEHURST DR @ LANCASTER,2022/2/1 17:30,56,W,M,35.91998,-79.01079
CRASH INVESTIGATION,861 WILLOW DR,2022/5/9 2:09,<Null>,<Null>,<Null>,35.92899,-79.029807
CRASH INVESTIGATION,1490 FORDHAM BLVD,2022/6/3 19:58,38,W,M,35.936119,-79.024047
HIT AND RUN,212 CONNER DR,2022/3/12 17:00,38,W,M,35.931438,-79.029348
HIT & RUN,100 CARRAWAY CROSSING,2022/2/16 19:00,60,U,M,35.971117,-79.069923
CRASH INVESTIGATION,FORDHAM BLVD @ RALEIGH RD,2021/12/7 18:45,30,B,F,35.90881,-79.02708
HIT AND RUN,FORDHAM BLVD @ BRANDON RD,2022/3/19 4:06,<Null>,<Null>,<Null>,35.91519,-79.02628
CRASH INVESTIGATION,1487 EPHESUS CHURCH RD,2022/4/16 8:03,52,B,F,35.932987,-79.017025
HIT & RUN,1801 FORDHAM BLVD,2022/4/26 16:20,43,A,F,35.947773,-79.012795
BELATED CRASH INVESTIGATION,425 HILLSBOROUGH ST,2022/1/22 2:45,<Null>,<Null>,<Null>,35.920337,-79.052282
CRASH INVESTIGATION,FORDHAM BLVD @ MANNING DR,2022/6/11 22:09,69,B,M,35.89842,-79.0361
CRASH INVESTIGATION,1201 MARTIN LUTHER KING JR BLVD,2022/5/5 10:30,39,B,F,35.945544,-79.058678
HIT AND RUN,425 HILLSBOROUGH ST,2022/3/6 21:00,<Null>,A,M,35.920337,-79.052282
HIT AND RUN,409 W FRANKLIN ST,2022/6/5 14:50,<Null>,W,M,35.910806,-79.061155
HIT AND RUN,NC 54 @ FORDHAM BLVD,2021/11/15 17:50,<Null>,B,M,35.90871,-79.02728
CRASH INVESTIGATION,81 S ELLIOTT RD,2022/1/8 18:30,25,U,F,35.934693,-79.0281
CRASH INVESTIGATION,1748 FORDHAM BLVD,2022/3/9 12:56,<Null>,W,F,35.940711,-79.019103
HIT AND RUN,102 COLUMBIA PLACE DR,2022/4/30 18:30,26,A,M,35.922063,-79.057269
HIT AND RUN,FORDHAM BLVD @ WILLOW DR,2021/11/11 17:30,46,W,M,35.93035,-79.02427
HIT AND RUN,220 ELIZABETH ST,2022/6/20 17:30,25,W,F,35.925653,-79.04199
HIT AND RUN,206 SUNSET DR,2021/12/4 13:45,21,W,F,35.911653,-79.065954
HIT AND RUN INVESTIGATION,403 MARTIN LUTHER KING JR BLVD,2022/4/3 17:20,20,W,M,35.916,-79.057236
HIT AND RUN,406 W FRANKLIN ST,2022/6/30 18:20,<Null>,W,M,35.911401,-79.060917
CRASH INVESTIGATION,1798 MARTIN LUTHER KING JR BLVD,2022/7/21 15:00,28,W,F,35.966063,-79.059021
HIT AND RUN,1000 NOVUS LN,2022/5/15 12:00,<Null>,B,F,35.938695,-79.020844
CRASH INVESTIGATION,202 PINEGATE CIR,2021/12/18 23:10,53,B,F,35.947973,-79.009985
CRASH INVESTIGATION,508 W FRANKLIN ST,2021/11/5 20:24,44,W,M,35.910206,-79.064019
CRASH INVESTIGATION,1301 FORDHAM BLVD,2022/8/5 12:38,22,W,F,35.934632,-79.022613
HIT AND RUN,201 S ELLIOTT RD,2022/7/23 18:26,20,A,F,35.93322,-79.02681
HIT AND RUN,1101 WILLOW DR,2022/7/21 12:00,33,W,M,35.930094,-79.019736
CRASH INVESTIGATION,150 E ROSEMARY ST,2022/6/9 15:15,29,B,M,35.914604,-79.054127
HIT AND RUN,200 WESTMINSTER DR,2022/8/3 18:00,26,W,F,35.961123,-79.054772
HIT AND RUN,201 S ESTES DR,2022/8/11 16:30,32,O,F,35.927763,-79.027033
CRASH INVESTIGATION,1060 NC 54 W,2021/11/15 17:39,<Null>,W,M,35.924724,-79.135617
HIT AND RUN,500 NORTH ST,2022/4/10 22:30,26,W,F,35.917988,-79.049046
CRASH INVESTIGATION,309 CALDWELL ST,2021/12/27 0:20,66,B,M,35.917005,-79.061825
HIT AND RUN,828 HENDERSON ST,2022/5/13 10:50,<Null>,A,M,35.915506,-79.053588
CRASH INVESTIGATION,1501 E FRANKLIN ST,2022/2/26 18:15,42,W,F,35.929713,-79.034568
CRASH INVESTIGATION,1521 E FRANKLIN ST,2022/1/20 17:57,29,W,M,35.933036,-79.032733
CRASH INVESTIGATION,303 W FRANKLIN ST,2022/2/3 20:50,32,W,F,35.911242,-79.059687
FAILURE TO REMAIN ON SCENE OF CRASH,NC HWY 54 FWY E @ LITTLE JOHN RD,2022/6/5 5:40,<Null>,<Null>,<Null>,35.90286,-79.00183
HIT AND RUN,117 OLD DURHAM RD,2022/3/18 18:50,<Null>,B,M,35.943996,-79.011437
CRASH INVESTIGATION,409 W FRANKLIN ST,2022/5/12 16:30,<Null>,<Null>,<Null>,35.910806,-79.061155
HIT AND RUN,117 OLD DURHAM RD,2022/5/12 13:00,<Null>,W,M,35.943996,-79.011437
CRASH INVESTIGATION,1213 MARTIN LUTHER KING JR BLVD,2021/11/12 15:50,26,W,F,35.94768,-79.059242
HIT AND RUN,FORDHAM BLVD @ OTEYS RD,2022/4/19 10:13,<Null>,W,M,35.89587,-79.04579
HIT AND RUN INVESTIGATION,750 S MERRITT MILL RD,2022/4/3 18:35,57,B,M,35.903406,-79.067768
CRASH INVESTIGATION,150 E ROSEMARY ST,2022/4/20 19:00,<Null>,<Null>,<Null>,35.914604,-79.054127
HIT AND RUN,NC 54 @ FORDHAM BLVD,2022/6/27 15:10,29,W,M,35.89363,-79.05748
CRASH INVESTIGATION,1118 ENVIRON WAY,2022/1/14 20:30,<Null>,W,M,35.907072,-79.021619
BELATED CRASH,108 N GRAHAM ST,2021/12/10 21:30,31,W,F,35.910675,-79.064424
HIT AND RUN,300 CHRISTINE CT,2022/6/5 19:00,<Null>,W,F,35.955645,-79.06587
CRASH INVESTIGATION,619 E FRANKLIN ST,2021/12/21 0:25,<Null>,<Null>,<Null>,35.917856,-79.044499
HIT AND RUN,104 ADELAIDE WALTERS ST,2022/7/6 14:15,69,A,M,35.937999,-79.013818
CRASH INVESTIGATION,350 CALDWELL ST,2022/6/27 8:00,27,B,F,35.917429,-79.06329
HIT AND RUN,RALEIGH RD,2022/6/9 19:15,78,W,M,35.911096,-79.038724
HIT AND RUN,250 ERWIN RD,2021/12/3 9:35,41,W,M,35.951944,-79.016123
HIT AND RUN,1807 US 15-501,2022/4/11 11:49,<Null>,<Null>,<Null>,35.864075,-79.076346
CRASH INVESTIGATION,108 W LONGVIEW ST,2022/4/24 20:30,31,B,M,35.919676,-79.060415
CRASH INVESTIGATION,1301 FORDHAM BLVD,2021/11/26 4:08,<Null>,<Null>,<Null>,35.934632,-79.022613
CRASH INVESTIGATION,100 S COLUMBIA ST,2022/4/20 21:35,18,W,F,35.912644,-79.056092
HIT AND RUN,320 ASHLEY FOREST RD,2022/3/23 17:30,33,W,F,35.944265,-79.054923
CRASH INVESTIGATION,1801 FORDHAM BLVD,2021/11/23 13:30,<Null>,<Null>,<Null>,35.947773,-79.012795
HIT AND RUN,FORDHAM BLVD @ WILLOW DR,2022/1/28 16:55,42,W,M,35.93035,-79.02427
HIT AND RUN,625 E FRANKLIN ST,2022/4/6 23:56,<Null>,<Null>,<Null>,35.917763,-79.04384
HIT AND RUN,150 E ROSEMARY ST,2022/7/28 7:45,35,W,M,35.914604,-79.054127
CRASH INVESTIGATION,625 E FRANKLIN ST,2022/5/3 10:30,<Null>,<Null>,<Null>,35.917763,-79.04384
HIT AND RUN INVESTIGATION,1114 S COLUMBIA ST,2022/7/4 20:53,21,W,M,35.895422,-79.058406
HIT AND RUN,625 E FRANKLIN ST,2022/4/7 9:00,<Null>,<Null>,<Null>,35.917763,-79.04384
CRASH INVESTIGATION,FORDHAM BLVD @ S COLUMBIA ST,2022/4/4 3:30,<Null>,W,M,35.89363,-79.05748
CRASH INVESTIGATION,1 VILLAGE DR,2021/12/17 23:28,39,W,F,35.922592,-79.06587
HIT AND RUN,828 MARTIN LUTHER KING JR BLVD,2021/12/23 17:27,51,W,F,35.926901,-79.052931
HIT AND RUN,1800 MARTIN LUTHER KING JR BLVD,2022/7/8 11:59,33,W,F,35.968234,-79.058649
CRASH INVESTIGATION,525 E FRANKLIN ST,2022/2/10 12:20,<Null>,W,F,35.916772,-79.046551
HIT AND RUN,400 W ROSEMARY ST,2022/8/12 16:58,20,W,M,35.911782,-79.062877
CRASH INVESTIGATION,201 S ESTES DR,2022/1/17 14:30,<Null>,<Null>,<Null>,35.927763,-79.027033
CRASH INVESTIGATION,223 E ROSEMARY ST,2021/11/15 16:20,<Null>,W,M,35.91609,-79.0516
CRASH INVESTIGATION,714 MARTIN LUTHER KING JR BLVD,2022/3/10 17:00,<Null>,W,M,35.921574,-79.053702
CRASH INVESTIGATION,313 E FRANKLIN ST,2022/7/1 16:16,<Null>,<Null>,<Null>,35.915872,-79.04983
HIT AND RUN,205 SAGE RD,2022/5/19 13:30,<Null>,W,F,35.948679,-79.014557
BELATED CRASH INFORMATION,105 CREEL ST,2022/9/19 6:00,<Null>,W,F,35.905075,-79.066437
HIT AND RUN,1810 FORDHAM BLVD,2022/3/28 11:14,29,W,M,35.944837,-79.009379
HIT AND RUN,1810 FORDHAM BLVD,2022/8/7 10:30,72,W,M,35.944837,-79.009379
CRASH INVESTIGATION,1605 EPHESUS CHURCH RD,2022/3/24 12:00,<Null>,W,M,35.932984,-79.010243
CRASH INVESTIGATION,OLD CHAPEL HILL RD @ POPE RD,2022/7/15 20:34,<Null>,<Null>,<Null>,35.94542,-78.99572
HIT & RUN,2055 S COLUMBIA ST,2022/5/5 20:40,<Null>,W,F,35.883118,-79.060768
CRASH INVESTIGATION,1720 FORDHAM BLVD,2022/6/17 19:30,67,W,F,35.936885,-79.022096
HIT AND RUN,5633 OLD CHAPEL HILL RD,2022/6/20 10:00,25,W,M,35.945061,-78.999963
CRASH INVESTIGATION,1810 FORDHAM BLVD,2022/6/19 15:24,59,W,M,35.944837,-79.009379
CRASH INVESTIGATION,209 FAISON RD,2022/2/25 8:20,36,W,M,35.911333,-79.014146
HIT AND RUN,176 ST ANDREWS LN,2022/6/21 16:30,<Null>,A,M,35.937732,-79.008915
CRASH INVESTIGATION,900 OLD LYSTRA RD,2022/6/18 16:14,54,W,F,35.852444,-79.07323
HIT AND RUN,300 S COLUMBIA ST,2022/8/19 14:19,20,W,M,35.908482,-79.053436
CRASH INVESTIGATION,83 MAXWELL RD,2022/3/24 19:45,61,W,F,35.912036,-79.025181
HIT AND RUN,1490 FORDHAM BLVD,2022/8/2 12:00,64,O,F,35.936119,-79.024047
CRASH INVESTIGATION,98 EPHESUS CHURCH RD,2022/7/25 19:07,50,B,F,35.936223,-79.023122
CRASH INVESTIGATION,1998 FORDHAM BLVD,2022/3/6 14:20,<Null>,W,F,35.899463,-79.034813
CRASH INVESTIGATION,1810 FORDHAM BLVD,2021/11/28,34,W,F,35.944837,-79.009379
HIT AND RUN,859 W BARBEE CHAPEL RD,2022/5/23 17:30,<Null>,<Null>,F,35.905436,-79.016092
CRASH INVESTIGATION,2099 S COLUMBIA ST,2021/10/29 20:20,52,B,F,35.883118,-79.060768
HIT AND RUN,828 MARTIN LUTHER KING JR BLVD,2022/10/31 14:06,20,W,F,35.92696,-79.05294
HIT AND RUN,120 US 15-501 @  ESTES DR,2022/8/17 9:07,32,W,F,35.92512,-79.02499
HIT AND RUN,1800 E FRANKLIN ST,2022/8/27 15:00,19,A,M,35.935158,-79.024284
HIT AND RUN,1301 FORDHAM BLVD@EPHESUS CHURCH RD,2022/11/18 19:18,,W,F,35.93632507,-79.02341461
HIT AND RUN,125 S ESTES DR,2022/12/13 10:43,63,W,F,35.92847443,-79.03112792
HIT & RUN,211 CHURCH ST,2023/2/10 1:05,23,W,M,35.91346359,-79.05948638
HIT & RUN,708 MARKET ST,2023/2/4 18:57,36,W,F,35.88064575,-79.0662384
HIT AND RUN NO INJURIES,FORDHAM BLVD@OLD DURHAM RD,2022/12/30 15:44,25,B,M,35.94471741,-79.01264953
HIT AND RUN,201 S ESTES DR,2023/3/14 17:14,24,W,F,35.92782211,-79.02703857
HIT AND RUN,1 FORDHAM BLVD@OLD MASON FARM RD,2023/5/2 7:48,50,W,F,35.90148163,-79.03274536
BELATED CRASH INVESTIGATION,600 W FRANKLIN ST,2023/5/4 15:50,,W,M,35.91013336,-79.06470489
HIT AND RUN,406 ABERDEEN DR,2023/8/3 17:02,66,I,M,35.88076019,-79.06722259
CRASH INVESTIGATION,133 MALLETTE ST,2023/6/11 3:27,,,,35.92695999,-79.05294036
HIT AND RUN,416 COOLIDGE ST,2023/9/23 9:45,,W,F,35.92695999,-79.05294036
HIT AND RUN,625 E FRANKLIN ST,2023/9/28 20:45,19,W,F,35.92695999,-79.05294036
HIT AND RUN,104 E ROSEMARY ST,2023/6/18 11:56,34,W,F,35.91404724,-79.05654144
HIT AND RUN,211 CHURCH ST,2023/9/12 14:07,,,,35.91346359,-79.05948638
HIT & RUN,201 S ESTES DR,2023/8/21 17:08,20,,F,35.92782211,-79.02703857
HIT AND RUN MVC,1 FORDHAM BLVD,2023/9/5 15:35,36,B,F,35.93254852,-79.02385711
HIT AND RUN,1000 NOVUS LN,2023/8/27 11:14,20,W,F,35.93884659,-79.02210235
HIT AND RUN,201 US 15 501 N,2023/7/10 9:10,27,W,F,35.891864,-79.05849
CRASH INVESTIGATION,103 SWIFT RUN,2023/11/2 18:00,23,W,F,35.96121669,-79.01933514
CRASH INVESTIGATION,407 W ROSEMARY ST,2023/11/1 18:38,19,W,F,35.91131905,-79.06275399
TRAFFIC CRASH INVESTIGATION,PINEY MOUNTAIN RD ANDMARTIN LUTHER KING JR BLVD,2023/10/27 17:45,25,B,M,35.935413,-79.056171
HIT & RUN/CRASH INVESTIGATION,1129 WEAVER DAIRY RD,2023/6/30 15:00,79,B,M,35.962133,-79.054797
CRASH INVESTIGATION,125 S ESTES DR,2023/11/3 10:55,43,W,F,35.92841344,-79.03112186
HIT AND RUN,934 N HERITAGE CIR,2023/11/2 21:00,50,A,M,35.94826975,-79.06195662
CRASH INVESTIGATION,1 FORDHAM BLVD@ERWIN RD,2023/11/4 3:00,,,,35.94223901,-79.01833619
HIT AND RUN,625 S ELLIOTT RD,2023/11/4 18:30,22,B,F,35.93314725,-79.02107221
HIT & RUN,1813 FORDHAM BLVD,2023/11/5 20:52,43,W,F,35.94649518,-79.01053524
HIT AND RUN,2104 DREW HILL LN,2023/8/14 6:00,65,W,F,35.951671,-79.009498
HIT AND RUN,1700 MARTIN LUTHER KING JR BLVD,2023/8/21 8:30,19,W,F,35.96416092,-79.05853271
CRASH INVESTIGATION,101 N GRAHAM ST@W FRANKLIN ST,2023/12/21 10:00,24,W,M,35.90987598,-79.06421102
CRASH INVESTIGATION,1000 NOVUS LN,2023/11/16 23:15,25,W,M,35.93869485,-79.02084364
BELATED CRASH REPORT,520 W FRANKLIN ST@S GRAHAM ST,2023/11/16 10:20,19,W,M,35.90987598,-79.06421102
CRASH INVESTIGATION,1800 MARTIN LUTHER KING JR BLVD,2023/11/8 8:00,43,W,F,35.96823356,-79.05864946
HIT & RUN,635 N COLUMBIA ST,2023/12/1 16:25,28,A,M,35.9192327,-79.05973843
HIT & RUN,1 FORDHAM BLVD@EASTOWNE DR,2023/11/25 20:15,26,A,M,35.94770879,-79.00754072
CRASH INVESTIGATION,216 CONNER DR,2023/11/25 14:30,40,A,F,35.93181641,-79.02879194
CRASH INVESTIGATION,1800 MARTIN LUTHER KING JR BLVD,2023/12/15 18:36,,W,M,35.96823356,-79.05864946
CRASH INVESTIGATION,419 W FRANKLIN ST,2023/12/8 18:30,46,W,M,35.91030145,-79.06194195
CRASH INVESTIGATION,714 E FRANKLIN ST,2023/12/9 2:44,31,B,F,35.91661063,-79.04231966
CRASH INVESTIGATION,107 MARKET ST,2023/12/4 7:45,22,B,F,35.88014222,-79.06518817
CRASH INVESTIGATION,104 MALLETTE ST,2023/11/14 14:00,56,W,M,35.91103298,-79.05929126
HIT AND RUN,1000 NOVUS LN,2023/11/9,26,B,M,35.93869485,-79.02084364
CRASH INVESTIGATION,1 MARTIN LUTHER KING JR BLVD@WEAVER DAIRY,2023/12/15 8:05,51,B,F,35.96416171,-79.05854259
CRASH INVESTIGATION,1 MARTIN LUTHER KING JR BLVD@WEAVER DAIRY,2023/12/5 17:14,36,W,F,35.96416171,-79.05854259
CRASH INVESTIGATION,1 SEAWELL SCHOOL RD@HOMESTEAD RD,2023/12/15 9:55,54,W,M,35.95195779,-79.07551032
HIT AND RUN NO INJURY,1305 E FRANKLIN ST,2023/12/3 10:35,30,W,F,35.92757425,-79.03549923
CRASH INVESTIGATION,1800 E FRANKLIN ST,2023/11/15 15:10,32,W,F,35.93510174,-79.02426815
HIT AND RUN,600 MARTIN LUTHER KING JR BLVD,2023/12/7 11:00,21,W,F,35.91855859,-79.05569215
CRASH INVESTIGATION,140 W FRANKLIN ST,2023/11/17 22:36,21,B,F,35.91296844,-79.05783909
CRASH INVESTIGATION,1 FORDHAM BLVD@S ESTES DR X,2023/11/28 19:25,,,,35.925059,-79.02481138
CRASH INVESTIGATION,1620 MARTIN LUTHER KING JR BLVD,2023/11/9 17:50,,W,F,35.96096737,-79.05730078
CRASH INVESTIGATION,837 SHADYLAWN RD,2023/11/8 17:22,84,W,M,35.94936577,-79.04232905
HIT AND RUN INVESTIGATION,2131 N LAKESHORE DR,2023/11/16 6:30,46,W,M,35.94998486,-79.0339008
CRASH INVESTIGATION,1105 NC 54,2023/11/20 17:35,,,,35.89797607,-79.06773703
CRASH INVESTIGATION,206 W FRANKLIN ST@MALLETTE ST,2023/11/20 17:10,,,,35.911706,-79.05947097
HIT AND RUN,101 N COLUMBIA ST,2023/11/20 18:48,37,W,F,35.91330603,-79.05611955
CRASH INVESTIGATION,1913 EPHESUS CHURCH RD,2023/11/21 11:30,,,,35.93176285,-79.00431042
CRASH INVESTIGATION,215 GREENE ST,2023/12/6 23:23,54,W,F,35.92379933,-79.05646781
CRASH INVESTIGATION,100 E FRANKLIN ST@N COLUMBIA ST,2023/12/1 20:43,30,W,M,35.913151,-79.05575099
HIT AND RUN,100 SPRUNT ST,2023/11/7 9:45,81,W,M,35.90810862,-79.00987055
CRASH INVESTIGATION,301 W FRANKLIN ST,2023/11/8 18:30,25,W,M,35.91140564,-79.05961673
HIT AND RUN,NORTHFIELD DR@MARTIN LUTHER KING JR BLVD,2023/12/14 13:48,19,W,M,35.94627201,-79.05832499
HIT AND RUN,100 N ELLIOTT RD@E FRANKLIN ST,2023/11/30 13:25,54,W,F,35.935031,-79.029434
CRASH INVESTIGATION,100 E FRANKLIN ST@S COLUMBIA ST,2023/12/4 23:30,21,A,F,35.913151,-79.05575099
CRASH INVESTIGATION,1 WESTMINSTER DR@MARTIN LUTHER KING JR BLV,2023/12/6 10:30,,,,35.96113681,-79.05760289
HIT AND RUN,121 N COLUMBIA ST,2023/12/10 1:25,23,U,F,35.91364432,-79.05638399
HIT AND RUN,1219 RALEIGH RD@HAMILTON RD,2024/1/2 16:00,23,W,F,35.90795401,-79.023782
CRASH INVESTIGATION,143 W FRANKLIN ST,2024/1/24 18:18,19,W,M,35.91149063,-79.05793733
CRASH INVESTIGATION,1800 E FRANKLIN ST,2024/1/19 18:00,20,W,M,35.93510174,-79.02426815
HIT AND RUN,805 N COLUMBIA ST,2024/1/19 18:00,21,B,M,35.92145919,-79.0583208
CRASH INVESTIGATION,500 UMSTEAD DR,2024/1/21 13:00,,,,35.92463739,-79.06588455
CRASH INVESTIGATION,S MERRITT MILL RD AT NC 54,2024/1/21 19:05,31,W,F,35.91101999,-79.065804
CRASH INVESTIGATION,1100 NC 54,2023/12/23 11:00,44,W,F,35.89961125,-79.0668944
HIT AND RUN,300 W ROSEMARY ST AT CHURCH ST,2024/1/10 18:11,21,A,F,35.91317099,-79.05864694
CRASH INVESTIGATION,FORDHAM BLVD@S ELLIOTT RD,2023/12/27 20:25,39,W,F,35.932507,-79.02399003
